last_updated,doc_type,doc_id,language,filename,project_id,website_category,url
2023-09-27 00:00:00,36,11,en,Verra-Registry-Communications-Agreement-multiple-PPs-4753635-v1-SYDDMS signed JAL MAP.pdf,2723,VCS Other Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=98071&IDKEY=a903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdfa135239909
2022-01-19 00:00:00,51,12,not detected,2723_ZonaProyecto.shp.kml,2723,VCS Other Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=60125&IDKEY=miofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3o82912375
2022-09-06 00:00:00,61,13,not detected,EN_ERR Calculations CONDOTO_10042022.xlsx,2723,VCS Other Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=73682&IDKEY=a98klasmf8jflkasf8098afnasfkj98f0a9sfsakjflsakjf8ds101607478
2023-08-28 00:00:00,61,14,en,20230818 B.0.2 CCB  VCS Project Review_V4_25 August 2023.pdf,2723,VCS Other Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=96182&IDKEY=a98klasmf8jflkasf8098afnasfkj98f0a9sfsakjflsakjf8da132634978
2022-01-24 00:00:00,11,15,es,2723_CONDOTO REDD+ Spanish Summary Section 2.1.1 of PDD v1.pdf,2723,CCB Validation Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=60391&IDKEY=9097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87f83279189
2022-01-24 00:00:00,11,1,en,2723_PDD CONDOTO-IRO REDD+ 22.12.21 v3.pdf,2723,CCB Validation Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=60409&IDKEY=d097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87n83304011
2022-06-17 00:00:00,61,16,en,Validation_Statement_CCBv3.0 CONDOTO (1).pdf,2723,CCB Validation Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=68322&IDKEY=fq934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfhd94216038
2022-01-24 00:00:00,12,17,en,2723_CCB_VCS_Monitoring_Report_Condoto REDD+_V5_22122021.pdf,2723,CCB Verification Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=60408&IDKEY=qlksjoiuwqowrnoiuomnckjashoufifmln902309ksdflku098k83302632
2022-06-17 00:00:00,61,18,en,Verification_Statement_CCBv3.0 CONDOTO.pdf,2723,CCB Verification Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=68321&IDKEY=90e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9894214659
2021-09-22 00:00:00,31,1,en,VCS-Listing-Representation-Multiple-Representors-v4.1-signed copy Mvh.pdf,2611,VCS Pipeline Documents,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=55928&IDKEY=o097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87a77124712
